filename,imageID,brightness_median,brightness_stdev,saturation_median,saturation_stdev,hue_median,hue_stdev
2Q== (1).jpg,1,165,63.4922,113,53.7655,143,44.0803
2Q== (2).jpg,2,119,58.9531,57,41.0029,109,45.4118
2Q== (3).jpg,3,131,76.8684,128,71.4379,127,32.1023
2Q==.jpg,4,149,65.5047,117,55.9767,145,44.762
9k= (1).jpg,5,147,67.2038,127,62.7768,152,46.7031
9k= (2).jpg,6,164,63.2123,112,53.227,143,43.9898
9k= (3).jpg,7,147,67.7821,127,63.6558,152,47.0964
9k= (4).jpg,8,134,66.8939,134,62.5165,140,57.304
9k=.jpg,9,108,59.394,77,60.7188,126,55.7569
images (1).jpg,10,143,60.7305,92,47.4916,141,41.8494
images (10).jpg,11,150,65.5881,120,56.0807,145,45.1828
images (11).jpg,12,145,67.4724,127,63.0633,143,45.1505
images (12).jpg,13,167,67.8649,149,61.7977,144,51.1232
images (2).jpg,14,154,64.418,119,56.0745,144,44.8993
images (3).jpg,15,126,63.6645,106,59.5491,127,28.5739
images (4).jpg,16,146,61.7696,58,39.6645,166,49.7146
images (5).jpg,17,112,52.6472,58,53.6663,113,60.0328
images (6).jpg,18,118,63.7246,75,47.8364,122,54.9665
images (7).jpg,19,124,62.7666,107,58.4581,127,28.4676
images (8).jpg,20,111,65.9481,83,48.2464,143,64.8116
images (9).jpg,21,171,64.3115,127,57.2686,142,50.1065
images.jpg,22,171,64.3115,127,57.2686,142,50.1065
Z (1).jpg,23,150,65.2971,117,56.0794,145,45.478
Z (2).jpg,24,144,56.5632,63,35.2036,149,46.8933
Z (3).jpg,25,150,66.108,119,56.2702,145,45.221
Z (4).jpg,26,164,63.2329,112,53.4418,143,43.9725
Z (5).jpg,27,149,65.9968,116,56.4823,144,45.5154
Z (6).jpg,28,111,61.2445,87,61.7953,140,56.3906
Z (7).jpg,29,151,65.7566,117,55.9573,145,44.9906
Z.jpg,30,128,49.0227,89,47.807,150,40.0561